Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,29,38.0,17668,15826,1790,465,31,131,784,741,229,105,71,6,13968,52,325
vs Aston Villa,28,38.0,20266,18345,1878,481,48,172,857,803,242,101,87,7,16142,43,370
vs Bournemouth,27,38.0,21185,19272,1842,412,67,146,812,851,251,118,85,6,16667,71,377
vs Brighton,25,38.0,18458,16526,1862,428,38,195,676,843,204,110,52,3,14322,70,356
vs Burnley,22,38.0,20627,18589,1988,471,46,177,820,922,238,93,59,12,15824,50,353
vs Chelsea,27,38.0,16600,14807,1750,428,36,134,518,766,133,64,40,4,12445,43,320
vs Crystal Palace,25,38.0,20387,18460,1896,452,34,190,843,888,235,128,79,5,16178,31,340
vs Everton,24,38.0,18648,16627,1943,497,54,173,655,897,182,81,65,11,14366,78,319
vs Leicester City,24,38.0,16545,14485,1995,448,43,184,647,974,175,104,49,7,12319,65,403
vs Liverpool,24,38.0,15242,13360,1740,364,54,135,551,742,160,77,47,3,10923,142,292
vs Manchester City,24,38.0,14396,12728,1585,399,37,112,420,570,97,44,35,4,10925,83,254
vs Manchester Utd,29,38.0,17274,15381,1826,451,35,162,692,775,186,95,45,3,13147,67,345
vs Newcastle Utd,28,38.0,23531,21702,1777,417,51,179,868,820,252,126,80,6,19474,52,322
vs Norwich City,30,38.0,19565,17728,1798,384,26,157,893,846,266,126,88,0,15431,39,371
vs Sheffield Utd,26,38.0,22602,20552,1993,455,48,210,761,946,218,99,72,9,17999,57,295
vs Southampton,25,38.0,18481,16297,2115,481,37,130,737,1032,222,92,66,5,13419,69,419
vs Tottenham,29,38.0,18848,17045,1749,456,49,171,740,740,207,92,69,12,14672,54,359
vs Watford,26,38.0,21471,19570,1820,508,48,170,746,763,201,117,47,8,17002,81,320
vs West Ham,29,38.0,21591,19739,1753,427,60,140,770,768,219,115,57,8,17330,99,327
vs Wolves,21,38.0,19951,18133,1777,441,28,131,664,834,148,67,45,6,15811,41,323
